Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
SK9,"457,785",316,40,7,"1,108",2.9,47,8,97,"37,921",41,"48,800",12,https://propertydata.co.uk/draw?input=SK9
SK10,"374,956",261,40,11,785,2.5,37,9,80,"39,363",37,"49,700",10,https://propertydata.co.uk/draw?input=SK10
SK11,"263,453",219,39,14,741,3.4,37,13,112,"36,882",31,"42,500",17,https://propertydata.co.uk/draw?input=SK11
SK12,"394,323",294,22,10,"1,032",3.1,,10,52,"19,049",38,"47,900",6,https://propertydata.co.uk/draw?input=SK12
SK13,"247,473",198,23,13,722,3.5,,12,94,"33,104",25,"44,600",15,https://propertydata.co.uk/draw?input=SK13
SK14,"211,052",186,34,14,657,3.7,,11,1,"46,177",19,"35,900",25,https://propertydata.co.uk/draw?input=SK14
SK15,"256,780",191,18,12,610,2.8,,11,1,"27,625",21,"38,500",23,https://propertydata.co.uk/draw?input=SK15
SK16,"226,711",163,15,15,635,3.4,,10,,"19,475",15,"36,500",26,https://propertydata.co.uk/draw?input=SK16
SK17,"236,541",192,23,8,571,2.9,51,9,106,"31,910",26,"40,700",12,https://propertydata.co.uk/draw?input=SK17
SK22,"230,736",201,9,7,,,,10,64,"12,221",33,"47,000",15,https://propertydata.co.uk/draw?input=SK22
SK23,"305,906",214,15,10,,,,10,70,"17,180",32,"47,100",9,https://propertydata.co.uk/draw?input=SK23
SL0,"527,418",465,6,3,"1,243",2.8,30,5,96,"11,149",27,"54,500",13,https://propertydata.co.uk/draw?input=SL0
SL1,"306,979",400,25,2,970,3.8,37,5,136,"70,106",26,"49,400",17,https://propertydata.co.uk/draw?input=SL1
SL2,"363,564",404,19,3,"1,137",3.8,52,6,100,"53,085",25,"46,800",24,https://propertydata.co.uk/draw?input=SL2
SL3,"408,668",439,29,4,"1,143",3.4,42,3,103,"45,187",29,"52,000",19,https://propertydata.co.uk/draw?input=SL3
SL4,"507,214",473,28,3,"1,316",3.1,37,6,86,"43,227",37,"58,500",15,https://propertydata.co.uk/draw?input=SL4
SL5,"602,116",459,21,3,"1,842",3.7,29,4,49,"24,170",42,"60,800",10,https://propertydata.co.uk/draw?input=SL5
SL6,"475,459",448,51,4,"1,091",2.8,46,5,76,"77,343",37,"60,400",13,https://propertydata.co.uk/draw?input=SL6
SL7,"581,563",508,14,5,"1,407",2.9,46,5,56,"21,059",42,"60,400",10,https://propertydata.co.uk/draw?input=SL7
SL8,"502,155",487,6,5,"1,343",3.2,,5,40,"6,382",38,"56,800",9,https://propertydata.co.uk/draw?input=SL8
SL9,"681,431",522,18,5,"1,454",2.6,57,6,57,"20,991",44,"65,200",7,https://propertydata.co.uk/draw?input=SL9
SM1,"349,347",452,23,5,"1,223",4.2,55,7,139,"38,269",31,"54,500",12,https://propertydata.co.uk/draw?input=SM1
SM2,"379,212",443,19,6,"1,162",3.7,81,8,74,"28,260",42,"59,300",9,https://propertydata.co.uk/draw?input=SM2
SM3,"475,492",470,11,6,"1,187",3.0,,6,82,"21,079",28,"57,200",3,https://propertydata.co.uk/draw?input=SM3
SM4,"456,504",480,15,5,"1,206",3.2,54,8,93,"36,292",25,"52,700",19,https://propertydata.co.uk/draw?input=SM4
SM5,"391,016",465,24,9,"1,061",3.3,41,7,93,"37,962",29,"54,700",23,https://propertydata.co.uk/draw?input=SM5
SM6,"339,596",450,22,6,"1,120",4.0,73,8,105,"36,166",29,"53,000",21,https://propertydata.co.uk/draw?input=SM6
SM7,"573,606",463,13,7,"1,256",2.6,,6,73,"18,556",33,"58,200",7,https://propertydata.co.uk/draw?input=SM7
SN1,"181,394",220,20,3,655,4.3,37,3,208,"29,453",24,"45,600",8,https://propertydata.co.uk/draw?input=SN1
